"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"mac2a",410,1412,0.16643059490085,3.67089504803931,0,0,0,0,98,98,26.4061868981576,697.207621028329,0.0976910145083232
"mac3a",411,1378,0.350507982583454,5.2497331705483,0,0,0,0,98,98,18.3971979676594,337.48113325812,0.141420582322612
"mac4a",412,1404,0.198717948717949,3.66520866961334,0,0,0,0,97,97,26.2432788097088,690.094728585358,0.0978171829292638
"mac5a",413,1425,0.159298245614035,3.63492338936061,0,0,0,0,97,97,26.5403394947128,704.075579046168,0.0962914728932132
"mac6a",414,1429,0.218334499650105,4.45754008515018,0,0,0,0,98,98,21.7116141085847,470.058428869246,0.11791773890963
"mac7a",415,1425,0.296842105263158,5.16126425680404,0,0,0,0,98,98,18.7520822880888,350.192283718763,0.136725230230004
"mac8a",416,1436,0.15041782729805,3.62025946182636,0,0,0,0,97,97,26.6656266593142,710.358437628761,0.0955349932641584
"mac9a",417,1413,0.181174805378627,3.65215789076561,0,0,0,0,97,97,26.3708938013187,696.08335456849,0.0971579770874989
"mac10a",418,1421,0.172413793103448,3.64119221118517,0,0,0,0,97,97,26.4671791288181,700.814130263214,0.0965932027176681
"mac11a",419,1428,0.217086834733894,4.45900921689771,0,0,0,0,98,98,21.706181277262,469.790422819991,0.117997896756344
"mac12a",420,1443,0.135135135135135,3.61003462094047,0,0,0,0,97,97,26.7748903022195,715.428094412749,0.0950338232249392
"mac13a",421,1429,0.228831350594822,4.45819141492665,0,0,0,0,98,98,21.6950986877193,469.577690606079,0.117934968891427
"mac14a",422,1442,0.212205270457698,4.43716757214747,0,0,0,0,98,98,21.8177176047973,474.583247943069,0.11684851575167
"mac15a",423,1443,0.214830214830215,4.43581147737719,0,0,0,0,98,98,21.8208418784053,474.784512789857,0.116772321615686
"mac16a",424,1445,0.139792387543253,3.60802448399243,0,0,0,0,97,97,26.7787430079192,715.895622485813,0.0949151530669491
"mac17a",425,1435,0.358885017421603,5.73010926361463,0,0,0,0,98,98,16.8199828129018,281.282601025849,0.151264477921321
"mac18a",426,1445,0.303114186851211,5.12592373853147,0,0,0,0,98,98,18.8740275182762,354.91669941119,0.134846046198073
"mac19a",427,1443,0.268884268884269,4.42377833686299,0,0,0,0,97,97,21.7357849996476,472.276497888831,0.116455550318858
"mac19b",428,1443,0.245322245322245,4.42248352833117,0,0,0,0,97,97,21.7707425733602,473.297117047718,0.11642146460555
"mac19c",429,1443,0.212058212058212,4.42044096518731,0,0,0,0,97,97,21.8233242059835,474.834580977861,0.116367694322125
"mac19d",430,1442,0.308599167822469,5.1182866946501,0,0,0,0,98,98,18.8482998630951,354.014337545252,0.134785128967293
"neur1",431,1413,0.924274593064402,0.264651919370082,1,1,0,0,1,1,-3.2040147599817,8.27156598814628,0.00704050752661484
"wrat_read_raw",432,1368,42.9641812865497,8.58407556134599,44,43.5419708029197,8.8956,7,57,50,-0.703886486034434,0.491453372924967,0.232086822775899
